3256,7
564,3
508,0
481,6
465,0
453,2
444,8
438,1
432,7
427,8
422,7
418,4
414,7
412,0
409,2
406,7
404,6
402,7
401,1
399,7
398,4
397,3
396,2
395,3
394,4
393,5
392,6
391,7
390,9
390,1
3223,2
551,2
497,6
470,0
451,8
439,7
430,7
424,0
419,0
414,9
411,6
408,7
406,2
404,0
401,9
399,9
398,1
396,6
395,2
393,9
392,5
391,3
390,1
389,0
388,0
387,0
386,0
385,3
384,6
383,9
3243,7
551,5
499,4
475,2
459,6
447,9
438,6
431,6
426,1
421,7
417,9
414,6
411,9
409,4
407,4
405,6
403,9
402,3
400,9
399,6
398,4
397,3
396,3
395,2
394,2
393,4
392,5
391,8
391,2
390,6
3256,2
548,8
497,3
470,2
452,6
441,7
433,7
427,5
422,9
418,8
415,2
411,7
409,0
406,6
404,4
402,6
400,9
399,4
398,0
396,6
395,5
394,5
393,6
392,7
392,0
391,2
390,5
389,8
389,0
388,3
3266,7
555,9
500,5
472,7
456,0
444,6
435,9
428,5
423,3
419,2
415,9
413,2
410,8
408,7
406,7
404,8
403,1
401,6
400,2
399,0
397,9
396,9
395,9
395,0
394,1
393,2
392,4
391,7
391,0
390,3
3250,8
554,2
497,8
470,8
454,6
442,5
434,2
428,1
423,6
419,9
416,3
413,1
410,4
407,9
405,5
403,4
401,6
399,9
398,4
397,0
395,8
394,8
393,6
392,5
391,6
390,7
390,0
389,4
388,7
388,1
3270,2
556,6
503,4
476,7
460,0
447,9
438,6
431,0
424,8
420,0
416,0
412,3
409,0
406,1
403,4
401,2
399,2
397,4
395,7
394,2
392,9
391,5
390,2
389,1
388,0
387,1
386,3
385,6
384,9
384,3
3256,5
557,8
503,3
474,6
458,4
447,2
439,5
433,8
429,1
424,7
420,4
417,0
414,5
412,2
410,0
407,8
405,7
403,9
402,3
400,9
399,8
398,6
397,6
396,8
396,0
395,3
394,6
394,0
393,4
392,8
3270,1
559,5
503,9
475,7
459,0
447,9
440,2
433,2
427,6
422,9
419,1
415,8
413,0
410,8
408,7
406,7
405,0
403,5
401,8
400,2
398,9
397,8
396,8
395,9
395,0
394,1
393,4
392,7
392,2
391,6
3229,0
542,8
493,1
468,4
453,0
442,2
434,3
427,7
422,1
417,5
413,9
410,7
408,2
405,8
403,6
401,7
399,7
398,1
396,7
395,4
394,3
393,3
392,3
391,4
390,5
389,7
389,0
388,3
387,7
387,1
3243,4
559,6
504,5
477,0
458,6
447,5
439,4
433,1
427,7
423,3
419,4
416,0
413,3
410,8
408,4
406,3
404,6
403,0
401,5
400,0
398,6
397,5
396,6
395,7
394,6
393,5
392,7
391,9
391,2
390,6
3262,9
560,3
506,9
481,4
464,0
451,8
442,9
436,3
430,9
425,7
421,4
418,1
415,2
412,9
410,8
408,9
407,2
405,8
404,5
403,4
402,3
401,3
400,3
399,4
398,6
397,7
396,9
396,2
395,6
394,9
3217,7
547,0
495,3
469,3
453,2
441,7
433,4
426,5
421,3
416,9
413,5
410,3
407,7
405,4
403,6
401,9
400,2
398,4
396,8
395,4
394,3
393,1
392,1
391,2
390,1
389,3
388,6
387,7
387,0
386,4
3259,8
558,1
505,0
478,7
462,4
450,7
442,9
436,9
431,7
426,8
422,9
419,5
416,5
413,5
410,9
408,7
406,6
404,8
403,2
401,7
400,3
399,1
398,1
397,3
396,5
395,8
395,0
394,3
393,7
393,1
3228,3
551,6
498,8
473,8
458,6
447,6
438,8
431,9
426,9
422,7
418,8
415,3
412,4
409,7
407,5
405,8
404,2
402,7
401,3
400,0
398,8
397,6
396,4
395,4
394,6
393,8
393,0
392,3
391,6
391,0
3252,3
560,3
505,7
478,2
460,5
448,5
439,7
433,3
427,2
422,5
418,8
415,6
413,0
410,7
408,6
406,6
404,8
403,1
401,6
400,3
399,1
398,1
397,2
396,5
395,7
394,9
394,1
393,5
392,8
392,0
3232,9
558,0
503,5
475,6
458,8
445,9
435,6
427,8
422,0
417,3
413,4
410,2
407,3
404,9
402,8
400,9
399,1
397,5
396,1
394,9
393,8
392,8
391,9
391,0
390,2
389,4
388,6
387,7
386,9
386,2
3226,4
551,7
498,0
470,8
452,7
441,2
432,6
425,5
420,3
416,0
412,5
409,6
407,0
404,3
401,9
399,9
398,3
396,7
395,3
393,9
392,7
391,4
390,3
389,3
388,2
387,2
386,4
385,7
385,0
384,5
3264,2
559,6
502,9
474,3
455,9
444,8
436,8
430,3
425,2
421,0
417,8
414,8
412,0
409,8
407,9
406,2
404,7
403,4
402,2
401,1
400,0
399,0
398,2
397,3
396,4
395,7
394,9
394,2
393,5
392,9
3259,7
560,7
504,9
477,1
459,9
448,5
440,6
433,9
428,8
424,2
420,4
417,0
414,2
411,8
409,3
406,9
404,9
403,1
401,7
400,4
399,2
398,1
397,0
396,0
395,1
394,3
393,6
393,0
392,4
391,8
3219,5
550,4
491,7
465,3
449,0
437,7
429,0
423,4
419,0
415,4
412,5
410,0
407,8
405,7
403,8
402,0
400,4
398,9
397,5
396,1
394,9
394,0
393,0
391,9
390,9
390,0
389,1
388,4
387,8
387,3
3210,7
544,3
491,0
464,8
447,7
436,7
428,3
422,1
417,0
412,9
409,6
406,6
403,9
401,5
399,2
397,4
395,9
394,5
393,3
392,1
390,8
389,9
389,0
388,2
387,3
386,6
386,0
385,3
384,7
384,0
3247,8
554,1
498,6
471,2
453,8
441,8
431,5
424,4
419,3
415,4
411,5
408,3
405,7
403,1
400,7
398,5
396,5
394,8
393,2
391,8
390,4
389,3
388,3
387,3
386,5
385,7
385,0
384,3
383,7
383,0
3262,9
558,7
501,8
473,9
458,0
447,1
438,2
430,2
424,6
420,0
415,8
412,6
409,9
407,1
404,6
402,5
400,5
398,7
397,2
395,6
394,2
393,1
392,1
391,2
390,4
389,6
388,8
388,2
387,6
387,0
3227,4
560,8
503,4
476,2
460,1
449,4
440,5
433,8
428,3
423,5
419,1
415,0
411,5
408,6
406,3
404,4
402,6
400,9
399,3
397,8
396,6
395,6
394,6
393,8
393,0
392,0
391,1
390,3
389,5
388,8
3234,0
548,4
496,0
470,0
454,0
442,4
434,5
427,7
422,0
417,4
413,8
410,6
407,7
405,3
403,3
401,6
400,1
398,8
397,5
396,4
395,3
394,3
393,2
392,0
390,8
389,9
389,1
388,4
387,7
387,0
3279,4
560,0
503,4
475,7
458,0
445,9
437,5
431,2
425,7
421,3
417,5
414,1
411,2
408,4
406,2
404,0
402,1
400,4
399,0
397,7
396,2
395,0
394,1
393,2
392,2
391,4
390,6
389,8
389,0
388,3
3238,7
548,8
496,8
470,0
452,4
440,1
431,4
424,7
419,3
415,0
411,4
408,8
406,3
403,9
401,7
399,7
397,9
396,4
394,8
393,1
391,7
390,4
389,2
388,3
387,2
386,2
385,4
384,6
383,9
383,2
3269,1
552,2
496,7
469,4
453,2
442,1
433,7
427,6
422,6
418,5
415,2
412,3
409,6
406,9
404,5
402,6
400,9
399,4
398,0
396,7
395,6
394,3
393,0
392,0
390,9
390,0
389,2
388,3
387,4
386,7
3277,6
561,5
507,6
480,9
464,4
452,8
444,3
438,1
433,1
428,7
425,3
422,3
419,4
416,8
414,4
412,2
410,5
408,9
407,5
406,1
404,7
403,5
402,3
401,3
400,4
399,6
398,8
398,2
397,4
396,7
