"Invite yo rek"
"Try Not To Laugh challenge. Please Like,Subscribe. Buka ae di youtube ""nyettstudio"""
"Morning :3
[ Taken by : me ]
.
Wdyt?
(Pantai pasir putih)"



"#tb "
"#instasize #like4like"

Noefek!
Blur
Space
"Pengajian jek sempet foto"
"Satria & The Monster Live at Luwuk, Sulteng 
Thanks for Banggai"
#tb

"My family
#noresek"
"Tolong dihafalkan ya!!!!"
"Dimas (Drummer) ""Rock To Banggai"" Live at Stadion Kilongan, Luwuk"
"Satria (Lead Vocal & Guitarist) ""Rock To Banggai"" Live At Stadion Kilongan, Luwuk"
"Iwan (Bassist) ""Rock To Banggai"" Live At Stadion Kilongan, Luwuk"
"With teammates #peruda #training"
"Happy Heroes Day "

Helloo~~
"Newww toyyy..
Makasi fender strat 51 pawn shop nya #fendercustomshop #fenderpawnshop  @fenderguitar  @fendercustomshop @melodia_sby"
"Nasehat Om Donny Fattah (Godbless) Kalo mau mau jadi musisi terkenal harus total di musik, Penonton itu beda"" ada yg suka Musik nya aja, ada yg suka lirik, ada yg suka penampilan, ada yg suka gaya sama ada yg suka skillnya aja jadi harus di penuhi semuany"
:)
"TH$ masih kurang neh....FYEO
#hotwheels #hotwheelsindonesia #hotwheelssurabaya #hotwheelscollector #hwindo #hwindonesia #hotwheelskolpri #hotwheelslangka #diecast"


Natural


"Stalker, done(: @fitrisekar_arum @laurenti_ang21 @8ikkeh_spenzholick @elmasalsabila80 @anggariyp"
"Mama tersayang"
"Thank youu nineteen mania @nineteenmania19 karena uda support smartband di lomba junior deteksi band dan alhamdullilah dapet juara 1 . #SedikitKeseruan"
"Buat synkk ku"

"Grand Final Secret Vs OG#dota2 #turnament #frankfurtmajor2015 #secrets #vs #og"
"nia kecil."
"GGWP OG 3:1 #dota2 #frankfurtmajor2015 #turnament"
"w/ pak pres @indonesianbassfamily , om harry toledo"
"Cuman coba cobak.
@zidanefausta17 @akmal_sadidan @raihanpasha_31 
#tndalbum #zipitdrumcompetition #indomusikgram"
"Good night "
"100 : 26"
"Allah, make me strong in your way "

#linecamera

"Sun rise~ bukit teh ~"
"Djarum.tbk at puncak"
"with yoyo bassman"
"#ragna #cosplay #blazblue"
"#anime #tokyoghoul #kanekiken #ghoul"


#latepost
"How fast the night changes#otra2015#latepost"
"Lucu nggak"
>>>>
"#hanumalyak #Untitled9  #polyvore #fashion #style #MICHAELMichaelKors #YvesSaintLaurent #Gucci #Valentino #Illamasqua #OPI  made by @leahendrastoo"
#linecamera
"With my family"
"#hanumalyak #Misspinkshades  #fashion #style #Converse #VictoriaBeckham #KateSpade #MANGO - aslinya ini punyanya @fashiomotion tapi ke upload ke sini .. "
"#narutoshippuden #anime #animecool #naruto #narutouzumaki"


"Home photoshoot #home #baloon  @olga_dianti_25"
"Fail dtifting"
Iseng
"Made with @kanvasapp #kanvasapp"
"chrome banget y"
"Muse - Hysteria Cover #SatriaAndTheMonster"
"Uptown Funk (Bruno Mars) - Satria n THE MONSTER Feat. Abe Lasso..
Video by @vitta.alass #SatriaAndTheMonster"
"Gita Rama Shinta...yang nggak ke tag mohon dimaafkan yeee... :)) #gitaramashinta #smpn1surabaya"


"Find the diffrence"



"Satria & THE MONSTER Feat Barry Likumahuwa At JavaJazz2015 #SatriaAndTheMonster"
"#Kartini_2015 . W/ diah nur f."
"In memoryam EZTA S.LESTARI & DESHY SAYOKO #01oktober2014"
"Hello :D"
"Satria & THE MONSTER - Pork Chops Uzeb At Rolling Stone Cafe JakJazz2015 #SatriaAndTheMonster"


"Time to relax"
"Satria and THE MONSTER Live Lotte Mart Bintaro..
Photo by @elikpri #SatriaAndTheMonster"
" Happy bornday ! Aurellia parasti J #photogrid @photogridorg @aurrel_ @leahendrastoo @aldelanurhawani_ @aldela_ayutn @kiranadyanty @lylaanindita @johanatambunan_3602 @charistika @cindypomalina_ @dian_wahyu_ Yg ga ke tag .. Sorry"
#perfectbalancepedal
Me!!
"Partyclass
#latepost"
"Me and my friends"

"Me and teacher 
Jelek babain!!!"
"Like y!!"
"Satria and THE MONSTER Feat Mbah Anom Kemplu \m/.. #SatriaandTheMonster"

"Today! Satria & THE MONSTER Blues Night Live At Taman Kuliner Ciputat.. #SatriaAndTheMonster"
"Seen! Satria and THE MONSTER at Grand Charlie TMII Saturday, 06 June 2015.. LET THERE BE ROCK!! #SatriaAndTheMonster"
Hijab
Nie
"Me nan karin"
"#picsart #photography #ios . Ice cream and waffle "
"Lucu g"
"Satria and THE MONSTER Feat. Abe Lasso.. Photo by @imingkarya99 
#SatriaAndTheMonster"
"Ini lagu botol katanya @satriodhandy"
@satriodhandy
"Me and my friends"
"Tft karin"
"Pengeb sepatu itu kapan yak bisa beli wkwwkwkw "
"Mereka lagi selfie "
"Mr nan kawan tk"
"Me nan fina"


